timestamp,run_id,seed,champion
2025-11-22T12:49:08.531636,1,911,Group B
2025-11-22T12:49:08.545635,3,913,Group C
2025-11-22T12:49:08.550637,5,915,Group B
2025-11-22T12:49:08.553636,7,917,Group B
2025-11-22T12:49:08.555636,2,912,Group C
2025-11-22T12:49:08.566635,23,933,Group C
2025-11-22T12:49:08.568635,6,916,Group C
2025-11-22T12:49:08.573634,13,923,Group C
2025-11-22T12:49:08.574636,9,919,Group C
2025-11-22T12:49:08.582636,8,918,Group C
2025-11-22T12:49:08.585635,4,914,Group A
2025-11-22T12:49:08.587636,25,935,Group C
2025-11-22T12:49:08.591634,24,934,Group C
2025-11-22T12:49:08.594634,10,920,Group B
2025-11-22T12:49:08.596635,11,921,Group B
2025-11-22T12:49:08.596635,14,924,Group H
2025-11-22T12:49:08.599636,31,941,Group B
2025-11-22T12:49:08.640635,15,925,Group B
2025-11-22T12:49:08.641636,26,936,Group B
2025-11-22T12:49:08.641636,29,939,Group C
2025-11-22T12:49:08.642637,21,931,Group C
2025-11-22T12:49:08.642637,37,947,Group C
2025-11-22T12:49:08.642637,27,937,Group B
2025-11-22T12:49:08.642637,19,929,Group B
2025-11-22T12:49:08.642637,17,927,Group C
2025-11-22T12:49:08.657636,41,951,Group B
2025-11-22T12:49:08.657636,38,948,Group C
2025-11-22T12:49:08.658636,22,932,Group C
2025-11-22T12:49:08.659636,16,926,Group B
2025-11-22T12:49:08.659636,30,940,Group A
2025-11-22T12:49:08.660635,18,928,Group B
2025-11-22T12:49:08.663636,28,938,Group A
2025-11-22T12:49:08.665636,36,946,Group C
2025-11-22T12:49:08.665636,34,944,Group B
2025-11-22T12:49:08.665636,20,930,Group B
2025-11-22T12:49:08.667635,42,952,Group C
2025-11-22T12:49:08.669635,32,942,Group C
2025-11-22T12:49:08.670635,43,953,Group C
2025-11-22T12:49:08.671635,49,959,Group B
2025-11-22T12:49:08.675636,40,950,Group C
2025-11-22T12:49:08.676636,45,955,Group B
2025-11-22T12:49:08.677635,47,957,Group B
2025-11-22T12:49:08.681634,44,954,Group A
2025-11-22T12:49:08.681634,50,960,Group B
2025-11-22T12:49:08.682635,48,958,Group B
2025-11-22T12:49:08.685635,46,956,Group C
